"CustomerID","ProdTaken","Age","TypeofContact","CityTier","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome","time","diff"
"204300","0","38","Self Enquiry","1","21","Salaried","Female","4","4","Basic","5","Married","3","0","4","1","2","Executive","21712","1761110544166","1"
"200256","0","42","Self Enquiry","1","8","Small Business","Female","2","4","Basic","5","Married","1","1","4","1","0","Executive","17593","1761110544166","1"
"202245","0","43","Self Enquiry","3","31","Small Business","Male","3","4","Standard","3","Married","6","0","4","1","1","Senior Manager","25798","1761110544166","1"
"202078","1","55","Self Enquiry","3","8","Small Business","Male","2","3","Deluxe","3","Single","5","0","1","1","0","Manager","20160","1761110544166","1"
"201101","0","32","Self Enquiry","1","11","Salaried","Female","3","4","Deluxe","4","Married","4","0","3","1","0","Manager","20878","1761110544166","1"
"201812","0","31","Self Enquiry","1","13","Small Business","Female","2","3","Standard","3","Unmarried","2","1","4","1","1","Senior Manager","22143","1761110544166","1"
"202259","1","44","Self Enquiry","2","6","Small Business","Male","3","4","Standard","5","Married","1","0","4","1","0","Senior Manager","25482","1761110544166","1"
"204773","0","30","Self Enquiry","1","22","Salaried","Female","4","6","Basic","3","Married","2","1","5","1","2","Executive","20846","1761110544166","1"
"204599","0","27","Company Invited","3","7","Small Business","Male","3","5","Deluxe","5","Unmarried","3","0","3","0","1","Manager","22972","1761110544166","1"
"202960","0","24","Self Enquiry","1","11","Small Business","Male","3","3","Basic","5","Divorced","4","0","4","0","2","Executive","21497","1761110544166","1"
"204758","0","31","Self Enquiry","3","17","Small Business","Male","4","5","Deluxe","3","Married","3","0","1","0","2","Manager","25256","1761110544166","1"
"201446","0","34","Self Enquiry","3","34","Small Business","Female","3","4","Deluxe","3","Married","2","0","5","1","0","Manager","21712","1761110544166","1"
"200588","0","50","Self Enquiry","1","8","Small Business","Male","3","3","Super Deluxe","3","Divorced","6","0","2","0","1","AVP","32639","1761110544166","1"
"202534","0","41","Company Invited","1","7","Salaried","Male","4","5","Super Deluxe","4","Divorced","3","0","2","1","3","AVP","32181","1761110544166","1"
"203751","0","29","Self Enquiry","1","7","Small Business","Female","4","4","Basic","5","Married","3","0","1","1","1","Executive","22269","1761110544166","1"
"203414","0","28","Self Enquiry","3","18","Small Business","Female","4","2","Basic","3","Divorced","2","0","3","1","2","Executive","21212","1761110544166","1"
"204131","1","30","Self Enquiry","1","7","Large Business","Male","3","4","Basic","3","Single","2","0","1","0","1","Executive","20736","1761110544166","1"
"202405","1","32","Company Invited","1","9","Salaried","Female","2","3","Basic","3","Single","2","0","4","1","0","Executive","21209","1761110544166","1"
"204164","1","38","Company Invited","1","17","Small Business","Male","4","4","Standard","3","Married","8","0","3","0","3","Senior Manager","28726","1761110544166","1"
"200414","1","24","Self Enquiry","3","6","Large Business","Female","3","3","Basic","4","Single","2","1","4","1","2","Executive","18202","1761110544166","1"
"204152","0","33","Self Enquiry","3","11","Salaried","Female","3","4","Basic","4","Married","4","0","3","1","2","Executive","22609","1761110544166","1"
"200474","0","24","Self Enquiry","1","29","Small Business","Male","2","2","Basic","3","Divorced","2","1","4","0","1","Executive","17725","1761110544166","1"
"202716","0","29","Self Enquiry","1","16","Small Business","Male","4","4","Basic","3","Divorced","3","0","2","1","2","Executive","20748","1761110544166","1"
"200642","0","38","Self Enquiry","3","15","Small Business","Male","3","4","Basic","4","Divorced","1","0","4","0","0","Executive","17899","1761110544166","1"
"203081","0","33","Company Invited","1","7","Salaried","Male","4","4","Basic","3","Married","2","0","5","0","1","Executive","20992","1761110544166","1"
"202295","0","29","Self Enquiry","1","14","Small Business","Male","3","4","Deluxe","3","Married","2","1","3","1","1","Manager","20056","1761110544166","1"
"202279","0","28","Self Enquiry","1","9","Small Business","Female","3","3","Standard","4","Married","1","0","4","0","0","Senior Manager","22655","1761110544166","1"
"204067","0","46","Self Enquiry","1","16","Salaried","Male","3","4","Deluxe","4","Married","2","0","4","1","1","Manager","21026","1761110544166","1"
"204111","0","43","Company Invited","1","28","Small Business","Female","3","4","Deluxe","3","Married","4","0","1","0","1","Manager","23943","1761110544166","1"
"202788","0","36","Self Enquiry","1","12","Large Business","Male","4","4","Standard","4","Unmarried","2","0","3","0","1","Senior Manager","26773","1761110544166","1"
"202987","0","45","Company Invited","1","31","Small Business","Male","3","6","Basic","3","Unmarried","4","0","3","0","2","Executive","22386","1761110544166","1"
"203041","0","43","Self Enquiry","1","7","Salaried","Female","3","5","Deluxe","3","Divorced","2","1","3","0","2","Manager","24740","1761110544166","1"
"200915","1","21","Company Invited","1","16","Salaried","Female","2","4","Basic","3","Single","2","0","4","1","0","Executive","17625","1761110544166","1"
"200912","0","26","Self Enquiry","1","10","Salaried","Male","2","3","Basic","3","Single","2","1","1","0","0","Executive","17875","1761110544166","1"
"204310","0","44","Self Enquiry","1","15","Salaried","Female","4","4","Deluxe","3","Married","6","1","1","1","1","Manager","23200","1761110544166","1"
"201789","0","32","Self Enquiry","3","14","Large Business","Female","3","4","Deluxe","4","Married","2","1","1","1","2","Manager","20228","1761110544166","1"
"201427","0","40","Self Enquiry","1","6","Salaried","Male","2","3","Basic","3","Married","1","0","1","0","0","Executive","17406","1761110544166","1"
"203566","0","30","Self Enquiry","1","10","Small Business","Male","3","4","Basic","5","Unmarried","3","1","3","0","2","Executive","23401","1761110544166","1"
"201862","0","54","Self Enquiry","1","11","Small Business","Male","2","3","King","5","Married","5","0","4","1","0","VP","34406","1761110544166","1"
"202696","0","30","Self Enquiry","1","22","Salaried","Male","3","4","Basic","3","Single","3","0","3","0","1","Executive","21018","1761110544166","1"
"200964","0","34","Self Enquiry","3","21","Small Business","Female","3","3","Deluxe","5","Single","2","0","1","1","2","Manager","21125","1761110544166","1"
"203611","1","36","Self Enquiry","3","22","Small Business","Male","3","6","Deluxe","3","Married","8","1","1","1","2","Manager","24118","1761110544166","1"
"204510","0","36","Self Enquiry","1","7","Salaried","Female","3","2","Basic","3","Single","5","0","3","1","2","Executive","21184","1761110544166","1"
"200904","0","48","Self Enquiry","1","6","Salaried","Male","3","4","King","3","Single","7","0","3","1","0","VP","33265","1761110544166","1"
"201035","0","31","Self Enquiry","2","14","Small Business","Female","3","1","Basic","4","Single","1","0","1","0","2","Executive","17109","1761110544166","1"
"203759","0","37","Self Enquiry","1","9","Salaried","Female","4","4","Deluxe","4","Married","6","1","4","0","1","Manager","25640","1761110544166","1"
"203147","0","39","Company Invited","3","17","Large Business","Fe Male","3","4","Deluxe","3","Unmarried","3","1","3","0","2","Manager","24344","1761110544166","1"
"202417","1","52","Company Invited","3","13","Small Business","Female","3","3","Basic","3","Married","3","1","4","1","2","Executive","23446","1761110544166","1"
"203956","1","27","Self Enquiry","1","32","Salaried","Male","3","6","Basic","3","Single","3","0","1","0","1","Executive","20971","1761110544166","1"
"203615","1","41","Self Enquiry","1","14","Salaried","Male","4","4","Basic","5","Single","5","1","3","0","2","Executive","20844","1761110544166","1"
"202632","0","35","Company Invited","1","9","Salaried","Male","3","5","Deluxe","3","Divorced","3","0","4","0","1","Manager","28225","1761110544166","1"
"201396","1","53","Self Enquiry","3","30","Salaried","Male","3","3","Standard","5","Unmarried","7","1","3","1","2","Senior Manager","25448","1761110544166","1"
"203123","0","32","Company Invited","3","27","Small Business","Female","3","4","Deluxe","3","Divorced","3","0","2","1","1","Manager","25610","1761110544166","1"
"204804","0","55","Company Invited","1","8","Salaried","Female","3","4","Standard","3","Married","2","0","5","0","2","Senior Manager","29180","1761110544166","1"
"203157","0","46","Self Enquiry","1","7","Small Business","Female","4","4","Basic","3","Married","5","0","5","0","2","Executive","20948","1761110544166","1"
"201338","1","30","Self Enquiry","3","15","Small Business","Male","2","3","Basic","3","Single","2","0","5","0","0","Executive","16081","1761110544166","1"
"202532","0","31","Self Enquiry","1","9","Salaried","Male","3","5","Deluxe","3","Divorced","3","0","4","1","1","Manager","22830","1761110544166","1"
"204458","0","48","Company Invited","3","10","Small Business","Female","3","4","Super Deluxe","3","Married","2","1","5","1","1","AVP","32448","1761110544166","1"
"201462","0","39","Self Enquiry","3","30","Small Business","Female","2","4","Super Deluxe","3","Married","1","0","1","1","1","AVP","27031","1761110544166","1"
"200158","0","40","Self Enquiry","3","10","Small Business","Male","3","4","Standard","3","Divorced","1","0","2","1","0","Senior Manager","25855","1761110544166","1"
"203537","0","43","Company Invited","1","9","Salaried","Male","3","4","Standard","3","Married","4","1","3","1","1","Senior Manager","28802","1761110544166","1"
"200064","0","36","Self Enquiry","1","14","Large Business","Female","2","3","Standard","3","Married","2","0","4","1","1","Senior Manager","25096","1761110544166","1"
"202989","0","31","Self Enquiry","3","34","Small Business","Male","3","4","Deluxe","3","Married","2","0","3","1","1","Manager","23982","1761110544166","1"
"204143","1","30","Self Enquiry","1","25","Small Business","Male","3","5","Basic","3","Single","3","1","3","0","1","Executive","21067","1761110544166","1"
"200339","0","27","Self Enquiry","3","14","Small Business","Female","2","3","Deluxe","4","Divorced","2","0","2","0","0","Manager","21214","1761110544166","1"
"200379","0","55","Self Enquiry","1","8","Salaried","Female","3","3","Super Deluxe","3","Single","3","1","5","0","1","AVP","31659","1761110544166","1"
"200790","0","33","Self Enquiry","1","11","Salaried","Male","2","4","Standard","3","Married","5","0","3","0","0","Senior Manager","22119","1761110544166","1"
"204241","1","40","Self Enquiry","3","10","Small Business","Female","3","4","Deluxe","3","Married","6","1","4","1","2","Manager","23916","1761110544166","1"
"201982","0","27","Self Enquiry","1","9","Small Business","Male","2","4","Basic","3","Single","1","0","1","1","1","Executive","17045","1761110544166","1"
"203198","0","34","Company Invited","3","15","Salaried","Female","3","5","Basic","3","Single","2","0","2","1","2","Executive","21020","1761110544166","1"
"203170","0","32","Company Invited","1","7","Salaried","Female","4","4","Deluxe","5","Divorced","3","0","5","1","3","Manager","22826","1761110544166","1"
"204393","1","25","Company Invited","1","14","Salaried","Female","3","4","Basic","3","Married","3","1","4","0","1","Executive","21564","1761110544166","1"
"201482","0","31","Self Enquiry","1","32","Salaried","Male","2","3","Basic","3","Married","2","0","3","1","1","Executive","17911","1761110544166","1"
"202712","0","46","Self Enquiry","1","27","Small Business","Male","4","4","Super Deluxe","3","Divorced","2","1","3","0","1","AVP","32174","1761110544166","1"
"203204","0","54","Company Invited","3","9","Small Business","Female","3","5","Standard","4","Divorced","4","0","2","0","2","Senior Manager","26203","1761110544166","1"
"204492","0","39","Company Invited","1","9","Salaried","Fe Male","4","2","Deluxe","5","Unmarried","8","1","1","0","1","Manager","24658","1761110544166","1"
"203989","0","32","Self Enquiry","1","15","Salaried","Female","4","4","Deluxe","3","Unmarried","3","0","5","1","3","Manager","23102","1761110544166","1"
"204141","0","30","Company Invited","3","7","Small Business","Female","3","4","Standard","3","Married","3","0","3","1","2","Senior Manager","26596","1761110544166","1"
"203387","0","47","Self Enquiry","2","7","Salaried","Female","3","4","Basic","5","Unmarried","8","0","5","1","1","Executive","22101","1761110544166","1"
"203255","0","39","Self Enquiry","3","9","Small Business","Male","3","4","Standard","4","Unmarried","2","0","4","1","1","Senior Manager","26029","1761110544166","1"
"204453","0","51","Self Enquiry","3","15","Small Business","Male","3","4","Basic","4","Married","2","0","1","0","2","Executive","22553","1761110544166","1"
"201240","0","39","Company Invited","1","6","Salaried","Male","3","3","Deluxe","3","Married","2","1","5","1","2","Manager","21472","1761110544166","1"
"204296","1","27","Company Invited","1","10","Large Business","Male","4","4","Basic","5","Unmarried","2","0","3","0","2","Executive","21780","1761110544166","1"
"201225","0","45","Self Enquiry","1","34","Large Business","Female","2","4","Super Deluxe","4","Single","2","0","3","1","0","AVP","31704","1761110544166","1"
"204534","0","36","Self Enquiry","1","34","Small Business","Female","3","5","Basic","5","Single","3","0","4","0","2","Executive","21237","1761110544166","1"
"200360","0","57","Self Enquiry","1","6","Small Business","Male","2","3","Deluxe","3","Divorced","3","0","3","1","1","Manager","21755","1761110544166","1"
"203553","0","31","Self Enquiry","3","36","Large Business","Male","3","4","Standard","4","Married","5","0","4","0","2","Senior Manager","27928","1761110544166","1"
"202805","0","41","Self Enquiry","1","17","Salaried","Female","3","3","Basic","3","Divorced","5","1","3","0","2","Executive","20891","1761110544166","1"
"204494","0","36","Self Enquiry","3","15","Salaried","Female","4","4","Basic","3","Married","3","0","3","1","3","Executive","21250","1761110544166","1"
"200110","0","51","Company Invited","1","6","Small Business","Female","1","4","Standard","5","Unmarried","4","0","2","1","0","Senior Manager","22484","1761110544166","1"
"202976","0","48","Self Enquiry","3","21","Small Business","Male","3","4","Deluxe","5","Unmarried","4","0","2","0","2","Manager","23638","1761110544166","1"
"204395","0","35","Self Enquiry","1","7","Salaried","Male","3","5","Basic","3","Married","3","1","1","1","2","Executive","22300","1761110544166","1"
"202488","0","31","Company Invited","1","7","Small Business","Female","3","4","Deluxe","3","Unmarried","3","0","3","1","1","Manager","22689","1761110544166","1"
"201450","0","35","Self Enquiry","2","32","Salaried","Fe Male","2","3","Standard","3","Unmarried","2","1","1","1","0","Senior Manager","23837","1761110544166","1"
"202652","0","41","Company Invited","1","16","Salaried","Male","4","5","Deluxe","3","Divorced","2","0","5","1","1","Manager","23554","1761110544166","1"
"201353","1","34","Company Invited","1","22","Large Business","Male","2","5","Basic","5","Married","2","1","3","1","0","Executive","17307","1761110544166","1"
"200928","1","44","Self Enquiry","1","21","Small Business","Female","3","3","Standard","3","Divorced","2","0","3","0","1","Senior Manager","22978","1761110544166","1"
"200192","1","35","Self Enquiry","1","29","Salaried","Male","2","4","Deluxe","3","Divorced","4","1","4","1","1","Manager","20916","1761110544166","1"
"204541","0","53","Company Invited","1","32","Small Business","Female","3","5","Super Deluxe","3","Married","5","0","5","0","2","AVP","32504","1761110544166","1"
"200289","0","28","Self Enquiry","1","14","Salaried","Female","3","3","Basic","3","Single","2","0","4","0","1","Executive","18310","1761110544166","1"
"204282","1","41","Self Enquiry","3","29","Small Business","Male","4","5","Deluxe","3","Married","4","1","3","1","1","Manager","25058","1761110544166","1"
"203797","1","35","Company Invited","1","23","Large Business","Male","3","6","Basic","5","Married","3","1","3","1","1","Executive","20985","1761110544166","1"
"200188","0","34","Company Invited","1","8","Salaried","Male","2","4","Deluxe","3","Divorced","2","0","4","0","0","Manager","24547","1761110544166","1"
"204777","0","34","Self Enquiry","2","9","Salaried","Male","4","4","Basic","3","Married","3","0","1","1","3","Executive","22278","1761110544166","1"
"203808","0","29","Company Invited","3","7","Salaried","Male","3","5","Deluxe","3","Married","3","1","1","0","1","Manager","25512","1761110544166","1"
"202441","1","51","Self Enquiry","3","16","Salaried","Female","3","3","Standard","4","Married","6","0","1","1","2","Senior Manager","28142","1761110544166","1"
"203276","0","38","Self Enquiry","1","32","Small Business","Female","3","5","Deluxe","3","Married","2","0","3","0","2","Manager","24409","1761110544166","1"
"203492","0","35","Self Enquiry","3","10","Salaried","Male","3","6","Deluxe","5","Unmarried","5","0","5","1","2","Manager","23437","1761110544166","1"
"203293","1","44","Self Enquiry","3","16","Small Business","Fe Male","3","6","Deluxe","3","Unmarried","2","0","2","1","2","Manager","24024","1761110544166","1"
"203888","1","57","Self Enquiry","1","14","Large Business","Male","4","4","Basic","3","Married","2","0","4","1","3","Executive","21017","1761110544166","1"
"204828","1","56","Company Invited","3","9","Salaried","Female","3","5","Basic","3","Single","2","0","5","0","1","Executive","32255","1761110544166","1"
"202442","1","18","Self Enquiry","3","15","Small Business","Male","2","3","Basic","3","Single","2","0","5","0","1","Executive","16611","1761110544166","1"
"203823","1","28","Company Invited","2","29","Salaried","Female","3","5","Basic","4","Married","3","0","1","1","1","Executive","21541","1761110544166","1"
"201221","0","45","Company Invited","1","6","Salaried","Male","3","4","Standard","3","Married","4","0","1","1","2","Senior Manager","25748","1761110544166","1"
"203439","0","44","Self Enquiry","1","13","Small Business","Female","4","5","Deluxe","3","Unmarried","3","1","4","1","2","Manager","22759","1761110544166","1"
"200979","0","34","Self Enquiry","1","35","Small Business","Male","2","3","Deluxe","3","Divorced","5","0","3","0","0","Manager","20429","1761110544166","1"
"200338","0","30","Self Enquiry","3","11","Small Business","Female","1","4","Deluxe","3","Married","2","0","2","0","0","Manager","21118","1761110544166","1"
"204468","0","28","Self Enquiry","1","14","Small Business","Fe Male","3","5","Deluxe","5","Unmarried","2","0","3","1","1","Manager","25489","1761110544166","1"
"201301","0","58","Company Invited","3","8","Small Business","Male","2","3","Super Deluxe","4","Married","5","0","4","1","0","AVP","17705","1761110544166","1"
"201595","0","26","Self Enquiry","1","12","Salaried","Female","2","4","Basic","4","Married","2","0","3","1","1","Executive","17368","1761110544166","1"
"201544","0","36","Self Enquiry","1","12","Salaried","Female","2","1","Basic","3","Married","4","0","1","0","0","Executive","18038","1761110544166","1"
"201907","0","30","Self Enquiry","3","13","Small Business","Male","2","3","Basic","4","Single","1","0","1","0","0","Executive","17983","1761110544166","1"
"201105","0","33","Self Enquiry","3","14","Salaried","Male","2","3","Deluxe","5","Married","3","0","5","1","0","Manager","21392","1761110544166","1"
"202005","0","41","Self Enquiry","2","16","Salaried","Male","3","4","King","3","Married","4","0","1","1","1","VP","34141","1761110544166","1"
"201274","0","31","Self Enquiry","3","35","Small Business","Female","3","4","Deluxe","3","Married","2","0","3","1","0","Manager","20468","1761110544166","1"
"201518","0","46","Company Invited","3","11","Small Business","Male","3","3","Deluxe","3","Single","5","1","5","1","1","Manager","20772","1761110544166","1"
"204060","0","31","Self Enquiry","1","9","Small Business","Male","3","5","Basic","3","Unmarried","2","0","4","0","1","Executive","21398","1761110544166","1"
"200958","0","34","Self Enquiry","1","15","Salaried","Male","2","3","Standard","3","Married","1","0","5","1","1","Senior Manager","23500","1761110544166","1"
"202856","0","47","Self Enquiry","1","25","Small Business","Female","3","4","Deluxe","3","Married","4","0","5","0","1","Manager","23488","1761110544166","1"
"203501","1","30","Company Invited","3","20","Large Business","Fe Male","3","4","Deluxe","4","Unmarried","7","0","3","0","2","Manager","24443","1761110544166","1"
"202296","0","38","Self Enquiry","2","6","Salaried","Male","2","1","Basic","3","Married","2","0","4","1","0","Executive","17844","1761110544166","1"
"202635","0","28","Self Enquiry","1","16","Small Business","Female","3","4","Basic","4","Single","3","0","3","1","1","Executive","20957","1761110544166","1"
"201172","0","29","Self Enquiry","3","16","Small Business","Male","2","4","Deluxe","3","Single","1","0","4","1","0","Manager","20869","1761110544166","1"
"204431","0","26","Self Enquiry","3","15","Salaried","Male","3","2","Deluxe","4","Married","2","0","4","1","1","Manager","23529","1761110544166","1"
"200230","0","52","Self Enquiry","1","8","Salaried","Female","2","4","Basic","3","Single","1","0","3","0","0","Executive","18212","1761110544166","1"
"200073","0","32","Self Enquiry","1","6","Salaried","Male","3","3","Deluxe","4","Divorced","2","0","3","0","0","Manager","21220","1761110544166","1"
"202574","0","44","Company Invited","1","35","Small Business","Female","4","3","Basic","3","Unmarried","6","0","3","0","3","Executive","23417","1761110544166","1"
"202114","0","31","Self Enquiry","1","17","Salaried","Male","2","3","Basic","3","Married","4","1","3","0","0","Executive","17356","1761110544166","1"
"201961","0","43","Company Invited","1","15","Small Business","Male","3","3","Deluxe","3","Married","4","1","3","1","2","Manager","20679","1761110544166","1"
"204810","0","32","Self Enquiry","1","31","Small Business","Fe Male","4","5","Deluxe","5","Unmarried","3","0","5","1","1","Manager","25490","1761110544166","1"
"204873","1","41","Self Enquiry","3","14","Small Business","Male","3","4","Basic","4","Unmarried","3","0","5","0","1","Executive","23339","1761110544166","1"
"204556","0","39","Self Enquiry","3","16","Small Business","Male","4","5","Basic","4","Married","2","0","4","0","3","Executive","21577","1761110544166","1"
"202343","0","36","Self Enquiry","1","12","Salaried","Male","2","5","Basic","3","Married","2","0","1","1","0","Executive","17741","1761110544166","1"
"200151","0","35","Self Enquiry","3","6","Small Business","Male","3","3","Standard","4","Divorced","2","0","4","1","2","Senior Manager","22295","1761110544166","1"
"200819","0","28","Self Enquiry","1","8","Salaried","Male","3","4","Basic","4","Divorced","1","0","2","0","2","Executive","18201","1761110544166","1"
"203219","0","44","Self Enquiry","3","32","Small Business","Male","4","5","Standard","3","Married","7","0","4","1","2","Senior Manager","29476","1761110544166","1"
"204335","1","30","Self Enquiry","1","32","Large Business","Female","4","5","Basic","4","Married","7","0","3","1","3","Executive","21224","1761110544166","1"
"203451","1","30","Company Invited","1","21","Salaried","Fe Male","3","4","Standard","3","Unmarried","2","1","5","1","1","Senior Manager","26231","1761110544166","1"
"201505","0","43","Self Enquiry","1","8","Small Business","Female","3","1","Basic","3","Married","2","0","1","1","2","Executive","17645","1761110544166","1"
"203038","0","30","Self Enquiry","1","30","Salaried","Male","3","2","Basic","3","Divorced","3","0","2","1","2","Executive","21378","1761110544166","1"
"202097","0","52","Company Invited","1","31","Small Business","Female","2","4","Super Deluxe","3","Married","4","0","5","0","1","AVP","28826","1761110544166","1"
"200160","0","22","Self Enquiry","1","25","Small Business","Male","3","3","Basic","3","Divorced","2","0","2","0","1","Executive","17323","1761110544166","1"
"200052","0","44","Self Enquiry","3","6","Small Business","Female","3","3","Deluxe","5","Married","6","1","2","0","0","Manager","20454","1761110544166","1"
"204833","1","60","Company Invited","1","21","Salaried","Female","3","4","Standard","3","Single","2","1","5","1","1","Senior Manager","29190","1761110544166","1"
"204313","0","32","Self Enquiry","1","7","Salaried","Male","4","5","Basic","5","Married","3","0","4","1","2","Executive","20896","1761110544166","1"
"201633","0","57","Self Enquiry","1","30","Salaried","Male","2","1","Standard","3","Married","4","1","4","1","0","Senior Manager","24439","1761110544166","1"
